#OTU ID,AC-GL3-0-2-1,AC-GL3-0-2-14,AC-GL3-0-2-18,AC-GL3-0-2-19,AC-GL3-0-2-3,AC-GL3-0-2-4,AC-GL3-0-2-6,AC-GL3-0-2-7,AC-GL3-0-2-9,AC-GL3-2-7-1,AC-GL3-2-7-14,AC-GL3-2-7-18,AC-GL3-2-7-19,AC-GL3-2-7-3,AC-GL3-2-7-4,AC-GL3-2-7-6,AC-GL3-2-7-7,AC-GL3-2-7-9,AC-GL4-102,AC-GL4-102C,AC-GL4-50,AC-GL4-50C,AC-GL4-54C,AC-GL4-60,AC-GL4-60C,AC-GL4-61,AC-GL4-61C,AC-GL4-69,AC-GL4-69C,AC-GL4-70,AC-GL4-70C,AC-GL4-71,AC-GL4-71C,AC-GL4-73,AC-GL4-73C
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__uncultured;__;__,0,0,3,0,0,5,0,0,0,0,0,0,0,0,15,0,0,2,0,32,0,0,0,0,0,0,0,8,54,0,0,18,26,32,44
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Mycobacteriaceae;D_5__Mycobacterium;__,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,15,41,0,0,0,0,0,0,0,6,13,0,0,11,14,8,14
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;Ambiguous_taxa;__,714,1260,28,1401,6,1213,150,966,48,42,84,0,77,0,19,0,28,0,560,218,19,0,0,20,0,23,5,2131,231,11,0,1156,70,623,83
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;D_5__Candidatus Planktophila;D_6__uncultured bacterium,232,67,13,361,0,313,9,51,0,27,14,0,19,0,13,0,0,0,176,128,0,0,0,0,0,0,0,442,64,0,0,275,31,150,18
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;D_5__hgcI clade;D_6__uncultured Actinomycetales bacterium,67,118,0,113,0,249,0,152,11,0,10,0,8,0,0,0,0,0,262,128,0,0,0,0,0,0,0,224,33,0,0,249,43,68,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;D_5__hgcI clade;D_6__uncultured actinobacterium,0,110,0,95,0,126,0,92,0,0,12,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,374,21,0,0,67,0,101,10
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;D_5__hgcI clade;D_6__uncultured bacterium,342,41,0,422,0,338,37,27,7,8,0,0,9,0,5,0,0,0,184,126,0,0,0,0,0,0,0,263,32,0,0,380,32,200,19
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;D_5__hgcI clade;__,4198,1450,34,4600,0,2355,274,1238,73,157,82,6,294,9,224,0,52,9,939,791,22,0,0,47,0,4,0,3265,589,18,0,2199,288,1863,360
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae;D_5__Candidatus Aquiluna;D_6__uncultured bacterium,0,15,0,0,0,0,24,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae;D_5__Candidatus Limnoluna;D_6__uncultured bacterium,241,69,0,303,0,192,28,76,12,89,10,0,102,3,45,0,15,0,120,105,0,0,0,11,0,0,7,414,132,0,0,253,79,281,123
